 -1.000000000000000000e+00+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 3.450993289898685479e+00+1.888637519694416576e-14j, 3.587348440458988819e+00-1.988981901273694700e-14j, 3.587321562250386897e+00-2.909992146932021043e-14j, 4.443118677813698625e+00+1.951680263425967441e-15j, 7.068979747105843536e+00-3.404353995489993793e-14j, 7.539423204669312817e+00-1.530731714483739934e-14j, 7.539422466499291708e+00-8.424378638368647248e-14j, 8.805817213809101318e+00+4.043050392464074903e-15j, 9.582357082064723031e+00-8.187602275052117700e-14j, 9.582356415689300633e+00+4.354783827351649022e-14j
 -9.599999999999999645e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 3.402766188877501818e+00+7.755152849380253917e-14j, 3.583654777426629856e+00-5.117458305277414418e-14j, 3.635973673752757485e+00+4.305251898439458109e-14j, 4.447361214153305653e+00+5.512153790862169307e-15j, 7.066784200648925207e+00+5.793677031956170382e-15j, 7.537050352952964438e+00+3.523357987127840838e-14j, 7.540258288370893958e+00-4.229445446425446410e-14j, 8.800114872171446834e+00-3.817921497760480421e-14j, 9.580983879087940025e+00-2.697691371173713019e-15j, 9.585732415719672161e+00-6.151232421172726859e-15j
 -9.200000000000000400e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 3.327304329085208234e+00+4.599282027504856477e-14j, 3.574630252896563665e+00+4.824390991480550975e-14j, 3.713499778299345966e+00-1.494325208957370439e-13j, 4.458469870431686743e+00-8.420139479082061418e-15j, 7.061195033977129221e+00+2.236631569011615200e-15j, 7.542362430518492644e+00-5.172765653254243709e-14j, 7.530856263914950333e+00-5.495546823147177809e-14j, 8.785739942296569183e+00+3.404287004471296834e-15j, 9.594106746675116426e+00+6.775654614419109810e-14j, 9.577612035301115156e+00+2.496855309107886516e-14j
 -8.800000000000000044e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 3.247384433026405670e+00+1.958296191611480602e-13j, 3.560741653587101485e+00+3.239823202830698845e-14j, 3.797156874413985861e+00-2.413863274963766695e-14j, 4.475937853527934607e+00+1.008197124738159335e-15j, 7.052394700049294585e+00+4.861904993044957288e-14j, 7.520941099117327333e+00-1.956949475694020255e-14j, 7.545392718173200564e+00+9.759264066653874501e-16j, 8.764077869210243676e+00-5.584240514504219987e-13j, 9.572437113351117688e+00+7.095143606249333074e-14j, 9.605859306769895412e+00-2.908923412851608346e-13j
 -8.399999999999999689e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 3.166984164851410100e+00+7.619273637447176484e-15j, 3.542678563563560257e+00+5.223586410558417911e-14j, 3.882982155635216426e+00+1.260818185126227101e-13j, 4.499051161738790938e+00-1.570465687552307518e-14j, 7.040638971500762011e+00+1.102588063040203686e-13j, 7.507464140110939432e+00+2.289930423431747952e-14j, 7.548836348547405706e+00-4.658377515604826510e-14j, 8.736990679790986647e+00-3.236358883637585869e-13j, 9.565732742514613918e+00+2.402068450793344913e-14j, 9.618821451093785058e+00-7.307776887418222067e-14j
 -8.000000000000000444e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 3.087276645693119992e+00-1.591007585449799504e-13j, 3.521224649457057154e+00-7.624599837256114692e-15j, 3.969822841494000887e+00+1.598147124873013304e-13j, 4.526991462225275598e+00-1.477178094473963194e-14j, 7.026215745637429677e+00+4.900106918163609066e-14j, 7.490637943772629370e+00+6.744388581998501188e-15j, 7.552059121021288846e+00-9.118913839471541884e-14j, 8.706496021309794386e+00+1.459877585958394381e-14j, 9.557808057430083437e+00-5.380468273186510341e-14j, 9.630713175270528836e+00-2.972727080319835353e-14j
 -7.600000000000000089e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 3.008807772293580207e+00-1.215387458525177622e-13j, 3.497171003265982847e+00+7.007575284708883415e-14j, 4.057157729834333537e+00+1.899096400935240519e-13j, 4.558921704720100720e+00-2.316396573616612493e-14j, 7.009407600151940088e+00+3.460210274236359988e-14j, 7.470721951995495047e+00-3.371385460004141294e-15j, 7.554357994780936281e+00-2.369850802664381975e-13j, 8.674551564680539784e+00-4.731477061572197057e-13j, 9.548972571554342537e+00+6.892212283430750173e-15j, 9.639512385028510266e+00+9.039851469521380189e-14j
 -7.199999999999999734e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.931930551594118750e+00-2.611657696177728885e-14j, 3.471259467133687604e+00-1.840804636553385262e-15j, 4.144661226013274913e+00+5.281380080923648350e-14j, 4.594041469299191327e+00+6.384974233121778314e-15j, 6.990464435313893610e+00-2.364529702466599867e-14j, 7.448015675738088426e+00-5.535362385428425432e-14j, 7.555015274641681877e+00+1.284821987172722710e-14j, 8.642944127576976499e+00-3.308029489012847302e-13j, 9.539513337209077903e+00-9.024729683201924683e-14j, 9.643714285672791320e+00-6.821438117171293779e-14j
 -6.799999999999999378e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.856928678895946483e+00+5.716792449829660540e-14j, 3.444154355872981466e+00+7.258860108045233207e-15j, 4.232077470951480791e+00+4.136164284835326154e-14j, 4.631613635108525528e+00+2.627140238238241481e-14j, 6.969587664053933374e+00-1.319314547209050373e-14j, 7.422852082747532165e+00+4.789724694965761701e-14j, 7.553356592743655007e+00-1.029942117761400032e-13j, 8.613239000631827125e+00-2.437262069153501207e-13j, 9.529683723440706800e+00+1.052725624400521043e-13j, 9.642458408148996796e+00-3.640120265121825786e-14j
 -6.400000000000000133e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.784060927654808726e+00+1.959030767835101613e-13j, 3.416434417856438088e+00-2.443935085729559674e-14j, 4.319172791535426548e+00-5.017075056247429664e-14j, 4.670970546817777347e+00+3.046416794824903107e-14j, 6.946924600339843714e+00+5.536793894325678735e-14j, 7.395591689405292435e+00-2.285259775931346484e-14j, 7.548814942011964568e+00-9.760972295519446080e-14j, 8.586748640596391979e+00-1.430911888711252514e-13j, 9.519700463581257210e+00+5.931942516174877454e-14j, 9.635514357910064831e+00-1.664579582952798317e-13j
 -5.999999999999999778e-01+0.000000000000000000e+00j, -1.000000000000000000e+00+0.000000000000000000e+00j, 2.713579850066270005e+00+8.777610648174050464e-14j, 3.388596481108645531e+00+3.812127221078826363e-14j, 4.405712698110474612e+00-6.100343191741376626e-14j, 4.711508267868890876e+00+3.160962608402235124e-15j, 6.922571039089148393e+00+8.064723580692718454e-14j, 7.366617681765570858e+00-2.707257990393804199e-14j, 7.540998168702657267e+00+2.743996948491645520e-13j, 8.564500680400207955e+00+3.663187927195121946e-13j, 9.509745471873326750e+00+1.038272759289066648e-13j, 9.623155198247788533e+00-1.771129735212954706e-13j
